단계,유형,type,문제 텍스트,1/6문제,1/6정답,1/6선택정답,2/6문제,2/6정답,3/6문제,3/6정답,4/6문제,4/6정답,5/6문제,5/6-step1문제,5/6-step1정답,step5_1_training,5/6-step2문제,5/6-step2정답,step5_2_training,5/6-step3문제,5/6-step3정답,step5_3_training,6/6문제,6/6정답,keyword
1,A,본문제,형은 동생보다 4살 많고 두 사람의 나이의 합이 26살이다. 동생의 나이를 구하시오.,"구해야하는 것은 무엇인가요?
① 형의 나이
② 동생의 나이
③ 두 사람의 나이 차
④ 두 사람의 나이 합",동생의 나이,②,무엇을 x로 정했나요?,동생의 나이,“형은 동생보다 4살 많다”를 이용하여 형의 나이를 x를 사용한 식으로 표현해보자.,x+4,"""두 사람의 나이의 합이 26살이다"" 를 식으로 표현해보자",(x+4)+x=26,4단계에서 세운 방정식을 풀어봅시다.,[ (x+4)+x=26 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,2x+4=26,"distributive,combine_like_terms","[ 2x+4=26 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=22,"move_term,combine_like_terms",[ 2x=22 ] 이 식에서 x값을 구하면 얼마인가요?,x=11,divide_coefficient,동생의 나이는 몇 살인가요?,11살,가족
1,A,유사문제1,누나는 동생보다 3살 많고 두 사람의 나이의 합이 21살이다. 동생의 나이를 구하시오.,"구해야하는 것은 무엇인가요?
① 두 사람의 나이 합
② 두 사람의 나이 차
③ 동생의 나이
④ 누나의 나이",동생의 나이,③,무엇을 x로 정했나요?,동생의 나이,"""누나는 동생보다 3살 많다"" 를 이용하여 누나의 나이를 x를 사용한 식으로 표현해보자",x+3,"""두 사람의 나이의 합이 21살이다"" 를 식으로 표현해보자",(x+3)+x=21,4단계에서 세운 방정식을 풀어봅시다.,[ (x+3)+x=21 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,2x+3=21,"distributive,combine_like_terms","[ 2x+3=21 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=18,"move_term,combine_like_terms",[ 2x=18 ] 이 식에서 x값을 구하면 얼마인가요?,x=9,divide_coefficient,동생의 나이는 몇 살인가요?,9살,가족
1,B,본문제,광진이네 반 학생 수는 36명이고 여학생이 남학생보다 8명 많다. 남학생의 수를 구하시오.,"구해야하는 것은 무엇인가요?
① 남학생의 수
② 여학생의 수
③ 남학생 수와 여학생 수의 합
④ 남학생 수와 여학생 수의 차",남학생의 수,①,무엇을 x로 정했나요?,남학생의 수,"""여학생이 남학생보다 8명 많다"" 를 이용하여 여학생의 수를 x를 사용한 식으로 표현해보자",x+8,"""반 학생수가 36명이다"" 를 식으로 표현해보자",(x+8)+x=36,4단계에서 세운 방정식을 풀어봅시다.,[ (x+8)+x=36 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,2x+8=36,"distributive,combine_like_terms","[ 2x+8=36 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=28,"move_term,combine_like_terms",[ 2x=28 ] 이 식에서 x값을 구하면 얼마인가요?,x=14,divide_coefficient,남학생 수는 몇 명인가요?,14명,학교
1,B,유사문제1,어느 반 학생 수는 30명이고 여학생이 남학생보다 6명 많다. 남학생의 수를 구하시오.,"구해야하는 것은 무엇인가요?
① 남학생 수와 여학생 수의 합
② 남학생 수와 여학생 수의 차
③ 여학생의 수
④ 남학생의 수",남학생의 수,④,무엇을 x로 정했나요?,남학생의 수,"""여학생이 남학생보다 6명 많다"" 를 이용하여 여학생의 수를 x를 사용한 식으로 표현해보자",x+6,"""반 학생수가 30명이다"" 를 식으로 표현해보자",(x+6)+x=30,4단계에서 세운 방정식을 풀어봅시다.,[ (x+6)+x=30 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,2x+6=30,"distributive,combine_like_terms","[ 2x+6=30 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=24,"move_term,combine_like_terms",[ 2x=24 ] 이 식에서 x값을 구하면 얼마인가요?,x=12,divide_coefficient,남학생 수는 몇 명인가요?,12명,학교
1,C,본문제,광진이는 농구 시합에서 3점 슛 3개와 2점 슛 여러 개를 넣어 총 37점을 득점하였다. 광진이가 넣은 2점 슛의 개수를 구하시오.,"구해야하는 것은 무엇인가요?
① 3점 슛의 개수
② 2점 슛의 개수
③ 전체 슛의 개수
④ 총 득점",2점 슛의 개수,②,무엇을 x로 정했나요?,2점 슛의 개수,"""2점 슛 x개의 점수"" 를 x를 사용한 식으로 표현해보자",2x,"""총 37점을 득점하였다"" 를 식으로 표현해보자",9+2x=37,4단계에서 세운 방정식을 풀어봅시다.,"[ 9+2x=37 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=28,"move_term,combine_like_terms",[ 2x=28 ] 이 식에서 x값을 구하면 얼마인가요?,x=14,divide_coefficient,skip,skip,skip,2점슛의 개수는 몇 개인가요?,14개,농구
1,C,유사문제1,지민이는 농구 시합에서 3점 슛 2개와 2점 슛 여러 개를 넣어 총 28점을 득점하였다. 지민이가 넣은 2점 슛의 개수를 구하시오.,"구해야하는 것은 무엇인가요?
① 2점 슛의 개수
② 3점 슛의 개수
③ 총 득점
④ 전체 슛의 개수",2점 슛의 개수,①,무엇을 x로 정했나요?,2점 슛의 개수,"""2점 슛 x개의 점수"" 를 x를 사용한 식으로 표현해보자",2x,"""총 28점을 득점하였다"" 를 식으로 표현해보자",6+2x=28,4단계에서 세운 방정식을 풀어봅시다.,"[ 6+2x=28 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=22,"move_term,combine_like_terms",[ 2x=22 ] 이 식에서 x값을 구하면 얼마인가요?,x=11,divide_coefficient,skip,skip,skip,2점슛의 개수는 몇 개인가요?,11개,농구
1,D,본문제,한 자루에 800원인 볼펜 몇 자루와 2000원 하는 필통을 샀더니 가격이 9200원이다. 필통에 담긴 볼펜이 몇 자루인지 구하시오.,"구해야하는 것은 무엇인가요?
① 볼펜의 개수
② 볼펜의 가격
③ 필통의 개수
④ 필통의 가격",볼펜의 개수,①,무엇을 x로 정했나요?,볼펜의 개수,"""한 자루에 800원인 볼펜 x자루의 가격"" 을 x를 사용한 식으로 표현해보자",800x,"""가격이 9200원이다"" 를 식으로 표현해보자",800x+2000=9200,4단계에서 세운 방정식을 풀어봅시다.,"[ 800x+2000=9200 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",800x=7200,"move_term,combine_like_terms",[ 800x=7200 ] 이 식에서 x값을 구하면 얼마인가요?,x=9,divide_coefficient,skip,skip,skip,볼펜은 몇 자루인가요?,9자루,문구
1,D,유사문제1,한 자루에 700원인 연필 몇 자루와 2000원 하는 필통을 샀더니 가격이 9000원이다. 필통에 담긴 연필이 몇 자루인지 구하시오.,"구해야하는 것은 무엇인가요?
① 필통의 개수
② 필통의 가격
③ 연필의 개수
④ 연필의 가격",연필의 개수,③,무엇을 x로 정했나요?,연필의 개수,"""한 자루에 700원인 연필 x자루의 가격"" 을 x를 사용한 식으로 표현해보자",700x,"""가격이 9000원이다"" 를 식으로 표현해보자",700x+2000=9000,4단계에서 세운 방정식을 풀어봅시다.,"[ 700x+2000=9000 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",700x=7000,"move_term,combine_like_terms",[ 700x=7000 ] 이 식에서 x값을 구하면 얼마인가요?,x=10,divide_coefficient,skip,skip,skip,연필은 몇 자루인가요?,10자루,문구
1,E,본문제,"어느 농장에 소와 닭을 합하여 15마리가 있다. 다리의 수의 합이 44개일 때, 소는 모두 몇 마리인지 구하시오.","구해야하는 것은 무엇인가요?
① 소의 다리 개수
② 소의 마리수
③ 닭의 다리 개수
④ 닭의 마리수",소의 마리수,②,무엇을 x로 정했나요?,소의 마리수,"""소와 닭을 합하여 15마리일 때, 닭의 마리수"" 를 x를 사용한 식으로 표현해보자",15-x,"""다리의 수의 합이 44개 이다"" 를 식으로 표현해보자",4x+2(15-x)=44,4단계에서 세운 방정식을 풀어봅시다.,[ 4x+2(15-x)=44 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,2x+30=44,"distributive,combine_like_terms","[ 2x+30=44 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=14,"move_term,combine_like_terms",[ 2x=14 ] 이 식에서 x값을 구하면 얼마인가요?,x=7,divide_coefficient,소는 몇 마리인가요?,7마리,동물
1,E,유사문제1,"어느 농장에 양과 오리를 합하여 18마리가 있다. 다리의 수의 합이 54개일 때, 양은 모두 몇 마리인지 구하시오.","구해야하는 것은 무엇인가요?
① 오리의 다리 개수
② 오리의 마리수
③ 양의 다리 개수
④ 양의 마리수",양의 마리수,④,무엇을 x로 정했나요?,양의 마리수,"""양과 오리를 합하여 18마리 일 때, 오리의 마리수"" 를 x를 사용한 식으로 표현해보자",18-x,"""다리의 수의 합이 54개 이다"" 를 식으로 표현해보자",4x+2(18-x)=54,4단계에서 세운 방정식을 풀어봅시다.,[ 4x+2(18-x)=54 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,2x+36=54,"distributive,combine_like_terms","[ 2x+36=54 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=18,"move_term,combine_like_terms",[ 2x=18 ] 이 식에서 x값을 구하면 얼마인가요?,x=9,divide_coefficient,양은 몇 마리인가요?,9마리,동물
2,A,본문제,"형과 동생은 우표를 각각 16장, 12장 가지고 있다. 형이 동생에게 몇 장의 우표를 주면 동생이 가진 우표 수가 형이 가진 우표 수의 3배가 되는지 구하시오.","구해야하는 것은 무엇인가요?
① 형이 동생에게 주는 우표 개수
② 동생이 형에게 주는 우표 개수
③ 형이 가진 우표 개수
④ 동생이 가진 우표 개수",형이 동생에게 주는 우표 개수,①,무엇을 x로 정했나요?,형이 동생에게 주는 우표 개수,"""형이 동생에게 우표를 x장 줄 때, 형이 가진 우표 개수와 동생이 가진 우표 개수"" 를 각각 x를 사용한 식으로 표현해보자
① 형이 가진 우표 개수
② 동생이 가진 우표 개수","16-x,12+x","""동생이 가진 우표 수가 형이 가진 우표 수의 3배가 된다"" 를 식으로 표현해보자",12+x=3(16-x),4단계에서 세운 방정식을 풀어봅시다.,[ 12+x=3(16-x) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,12+x=48-3x,"distributive,combine_like_terms","[ 12+x=48-3x ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",4x=36,"move_term,combine_like_terms",[ 4x=36 ] 이 식에서 x값을 구하면 얼마인가요?,x=9,divide_coefficient,형이 동생에게 준 우표는 몇 장인가요?,9장,선물
