단계,유형,단계_순서,힌트내용
1,A,1,문제에서 구하려는 [RED: (동생)의 나이]은 무엇인가요?
1,A,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,A,3,문제의 조건 '[RED: 형은 동생보다 4살 많다를 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?
1,A,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,A,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
1,A,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,B,1,문제에서 구하려는 [RED: (남학생)의 수]은 무엇인가요?
1,B,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,B,3,문제의 조건 '[RED: 여학생이 남학생보다 8명 많다를 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?
1,B,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,B,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
1,B,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,C,1,문제에서 구하려는 [RED: (2점) 슛의 개수]은 무엇인가요?
1,C,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,C,3,문제의 조건 '[RED: 2점 슛 x개의 점수를 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?
1,C,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,C,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
1,C,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,D,1,문제에서 구하려는 [RED: (볼펜)은 몇 자루인가?]은 무엇인가요?
1,D,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,D,3,문제의 조건 '[RED: 한 자루에 800원인 볼펜 x개의 가격을 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?
1,D,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,D,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
1,D,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,E,1,문제에서 구하려는 [RED: (소)]은 무엇인가요?
1,E,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,E,3,문제의 조건 '[RED: 소가 x마리일때 오리는 몇 마리인지 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?
1,E,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,E,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
1,E,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,A,1,문제에서 구하려는 [RED: (형)이 (동생)에게 주는 우표는 몇 장인가?]은 무엇인가요?
2,A,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,A,3,"문제의 조건 '[RED: 형이 동생에게 우표를 x장 줄 때, 형이 가진 우표수와 동생이 가진 우표수를 각각 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
2,A,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,A,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
2,A,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,B,1,문제에서 구하려는 [RED: (어머니) 나이가 (민호) 나이의 두배가 되는 것은 몇 년 후인가?]은 무엇인가요?
2,B,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,B,3,문제의 조건 '[RED: x년 후의 어머니 나이와 민호 나이를 각각 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?
2,B,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,B,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
2,B,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,C,1,문제에서 구하려는 [RED: (두자리) 자연수는 무엇인가?]은 무엇인가요?
2,C,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,C,3,"문제의 조건 '[RED: 십의 자리수가 x, 일의 자리수가 8인 두 자리 자연수를 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
2,C,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,C,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
2,C,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,D,1,문제에서 구하려는 [RED: 연속하는 두 (자연수)는 무엇인가?]은 무엇인가요?
2,D,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,D,3,"문제의 조건 '[RED: 연속하는 두 자연수 중 작은 자연수가 x일때, 큰 자연수를 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
2,D,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,D,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
2,D,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,E,1,문제에서 구하려는 [RED: 직사각형의 (세로)의 길이는 몇 cm인가?]은 무엇인가요?
2,E,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,E,3,"문제의 조건 '[RED: 가로의 길이가 세로(x)의 길이보다 17cm 더 길때, 가로의 길이를 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
2,E,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,E,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
2,E,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,A,1,문제에서 구하려는 [RED: 수민이가 넣은 (3점) 슛은 몇 개인가?]은 무엇인가요?
3,A,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,A,3,문제의 조건 '[RED: 2점 슛을 3점 슛(x)의 3배보다 1개 더 많이 넣었을때 2점 슛의 개수를 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?
3,A,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
