단계,유형,type,단계_순서,힌트내용
1,A,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
1,A,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
1,A,본문제,3,동생의 나이가 [RED: x]살이고 형은 동생보다 4살 많아요. [RED: x]에 4를 더해보세요.
1,A,본문제,4,"형의 나이는 [RED: x]+4, 동생의 나이는 [RED: x]살이에요. 두 사람의 나이를 더하면 26과 같아요. 이를 이용하여 식을 만들어보세요."
1,A,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
1,A,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
1,A,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
1,A,유사문제1,3,동생의 나이가 [RED: x]살이고 누나는 동생보다 3살 많아요. [RED: x]에 3을 더해보세요.
1,A,유사문제1,4,"누나의 나이는 [RED: x]+3, 동생의 나이는 [RED: x]살이에요. 두 사람의 나이를 더하면 21과 같아요. 이를 이용하여 식을 만들어보세요."
1,A,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
1,B,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
1,B,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
1,B,본문제,3,남학생의 수가 [RED: x]명이고 여학생은 남학생보다 8명 많아요. [RED: x]에 8을 더해보세요.
1,B,본문제,4,"남학생 수는 [RED: x], 여학생 수는 [RED: x]+8이에요. 남학생 수와 여학생 수를 더하면 전체 학생 수 36과 같아요. 이를 이용하여 식을 만들어보세요."
1,B,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
1,B,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
1,B,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
1,B,유사문제1,3,남학생의 수가 [RED: x]명이고 여학생은 남학생보다 6명 많아요. [RED: x]에 6을 더해보세요.
1,B,유사문제1,4,"남학생 수는 [RED: x], 여학생 수는 [RED: x]+6이에요. 남학생 수와 여학생 수를 더하면 전체 학생 수 30과 같아요. 이를 이용하여 식을 만들어보세요."
1,B,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
1,C,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
1,C,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
1,C,본문제,3,2점 슛은 1개에 2점이에요. 2점 슛이 [RED: x]개이므로 2와 [RED: x]를 곱해보세요.
1,C,본문제,4,"3점 슛으로 얻은 점수는 3×3, 2점 슛으로 얻은 점수는 2[RED: x]예요. 두 점수를 더하면 총점 37과 같아요. 이를 이용하여 식을 만들어보세요."
1,C,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
