단계,유형,type,문제 텍스트,1/6문제,1/6정답,1/6선택정답,2/6문제,2/6정답,3/6문제,3/6정답,4/6문제,4/6정답,5/6문제,5/6정답,6/6문제,6/6정답,keyword,problemPrinciple,problemStrategy
1,A,본문제,형은 동생보다 4살 많고 두 사람의 나이의 합이 26살이다. 동생의 나이를 구하시오.,"구해야하는 것은 무엇인가요?
① 형의 나이
② 동생의 나이
③ 두 사람의 나이 차
④ 두 사람의 나이 합",동생의 나이,②,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,동생의 나이,“형은 동생보다 4살 많다”를 이용하여 형의 나이를 동생의 나이(x)를 사용한 식으로 표현해보자.,x+4,"""형의 나이(x+4)와 동생의 나이(x)의 합이 26살이다."" 이를 방정식으로 표현해보자.",x+4+x=26,4단계에서 세운 방정식의 해를 구해봅시다.,x=11,동생의 나이는 몇 살인가요?,11살,가족,"많다, 적다 관계","나이가 4살 많으면 ""+ 4"" 를 해보자"
1,A,유사문제1,누나는 동생보다 3살 많고 두 사람의 나이의 합이 21살이다. 동생의 나이를 구하시오.,"구해야하는 것은 무엇인가요?
① 두 사람의 나이 합
② 두 사람의 나이 차
③ 동생의 나이
④ 누나의 나이",동생의 나이,③,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,동생의 나이,“누나는 동생보다 3살 많다”를 이용하여 누나의 나이를 동생의 나이(x)를 사용한 식으로 표현해보자.,x+3,"""누나의 나이(x+3)와 동생의 나이(x)의 합이 21살이다."" 이를 방정식으로 표현해보자.",x+3+x=21,4단계에서 세운 방정식의 해를 구해봅시다.,x=9,동생의 나이는 몇 살인가요?,9살,가족,"많다, 적다 관계","나이가 3살 많으면 ""+ 3"" 을 해보자"
1,B,본문제,광진이네 반 학생 수는 36명이고 여학생이 남학생보다 8명 많다. 남학생의 수를 구하시오.,"구해야하는 것은 무엇인가요?
① 남학생의 수
② 여학생의 수
③ 남학생 수와 여학생 수의 합
④ 남학생 수와 여학생 수의 차",남학생의 수,①,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,남학생의 수,“여학생이 남학생보다 8명 많다”를 이용하여 여학생의 수를 남학생의 수(x)를 사용한 식으로 표현해보자.,x+8,"""남학생 수(x)와 여학생 수(x+8)의 합이 36명이다."" 이를 방정식으로 표현해보자.",x+8+x=36,4단계에서 세운 방정식의 해를 구해봅시다.,x=14,남학생 수는 몇 명인가요?,14명,학교,"많다, 적다 관계","사람수가 8명 많으면 ""+ 8"" 을 해보자"
1,B,유사문제1,어느 반 학생 수는 30명이고 여학생이 남학생보다 6명 많다. 남학생의 수를 구하시오.,"구해야하는 것은 무엇인가요?
① 남학생 수와 여학생 수의 합
② 남학생 수와 여학생 수의 차
③ 여학생의 수
④ 남학생의 수",남학생의 수,④,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,남학생의 수,“여학생이 남학생보다 6명 많다”를 이용하여 여학생의 수를 남학생의 수(x)를 사용한 식으로 표현해보자.,x+6,"""남학생 수(x)와 여학생 수(x+6)의 합이 30명이다."" 이를 방정식으로 표현해보자.",x+6+x=30,4단계에서 세운 방정식의 해를 구해봅시다.,x=12,남학생 수는 몇 명인가요?,12명,학교,"많다, 적다 관계","사람수가 6명 많으면 ""+ 6"" 을 해보자"
1,C,본문제,광진이는 농구 시합에서 3점 슛 3개와 2점 슛 여러 개를 넣어 총 37점을 득점하였다. 광진이가 넣은 2점 슛의 개수를 구하시오.,"구해야하는 것은 무엇인가요?
① 3점 슛의 개수
② 2점 슛의 개수
③ 전체 슛의 개수
④ 총 득점",2점 슛의 개수,②,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,2점 슛의 개수,"2점 슛의 개수가 x개일 때, 2점 슛의 점수를 식으로 표현해보자.",2x,"""3점 슛 3개의 점수와 2점 슛의 점수(2x)의 합이 37점이다."" 이를 방정식으로 표현해보자.",9+2x=37,4단계에서 세운 방정식의 해를 구해봅시다.,x=14,2점 슛의 개수는 몇 개인가요?,14개,농구,농구 경기의 득점 계산,"농구 득점은 ""슛의 개수 × 슛 1개의 점수"" 로 구해보자"
1,C,유사문제1,지민이는 농구 시합에서 3점 슛 2개와 2점 슛 여러 개를 넣어 총 28점을 득점하였다. 지민이가 넣은 2점 슛의 개수를 구하시오.,"구해야하는 것은 무엇인가요?
① 2점 슛의 개수
② 3점 슛의 개수
③ 총 득점
④ 전체 슛의 개수",2점 슛의 개수,①,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,2점 슛의 개수,"2점 슛의 개수가 x개일 때, 2점 슛의 점수를 식으로 표현해보자.",2x,"""3점 슛 2개의 점수와 2점 슛의 점수(2x)의 합이 28점이다."" 이를 방정식으로 표현해보자.",6+2x=28,4단계에서 세운 방정식의 해를 구해봅시다.,x=11,2점 슛의 개수는 몇 개인가요?,11개,농구,농구 경기의 득점 계산,"농구 득점은 ""슛의 개수 × 슛 1개의 점수"" 로 구해보자"
1,D,본문제,한 자루에 800원인 볼펜 몇 자루와 2000원 하는 필통을 샀더니 가격이 9200원이다. 필통에 담긴 볼펜이 몇 자루인지 구하시오.,"구해야하는 것은 무엇인가요?
① 볼펜의 개수
② 볼펜의 가격
③ 필통의 개수
④ 필통의 가격",볼펜의 개수,①,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,볼펜의 개수,"한 자루에 800원인 볼펜의 개수가 x자루일 때, 볼펜의 가격을 식으로 표현해보자.",800x,"""볼펜의 가격(800x)과 필통의 가격(2000)의 합이 9200원이다."" 이를 방정식으로 표현해보자.",800x+2000=9200,4단계에서 세운 방정식의 해를 구해봅시다.,x=9,볼펜은 몇 자루인가요?,9자루,문구,물건의 가격 계산,"물건의 가격은 ""물건 개수 × 1개의 가격"" 으로 구해보자"
1,D,유사문제1,한 자루에 700원인 연필 몇 자루와 2000원 하는 필통을 샀더니 가격이 9000원이다. 필통에 담긴 연필이 몇 자루인지 구하시오.,"구해야하는 것은 무엇인가요?
① 필통의 개수
② 필통의 가격
③ 연필의 개수
④ 연필의 가격",연필의 개수,③,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,연필의 개수,"한 자루에 700원인 연필의 개수가 x자루일 때, 연필의 가격을 식으로 표현해보자.",700x,"""연필의 가격(700x)과 필통의 가격(2000)의 합이 9000원이다."" 이를 방정식으로 표현해보자.",700x+2000=9000,4단계에서 세운 방정식의 해를 구해봅시다.,x=10,연필은 몇 자루인가요?,10자루,문구,물건의 가격 계산,"물건의 가격은 ""물건 개수 × 1개의 가격"" 으로 구해보자"
1,E,본문제,"어느 농장에 소와 닭을 합하여 15마리가 있다. 다리의 수의 합이 44개일 때, 소는 모두 몇 마리인지 구하시오.","구해야하는 것은 무엇인가요?
① 소의 다리 개수
② 소의 마리수
③ 닭의 다리 개수
④ 닭의 마리수",소의 마리수,②,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,소의 마리수,“소와 닭을 합하여 15마리이다”를 이용하여 닭의 마리 수를 소의 마리 수(x)를 사용한 식으로 표현해보자.,15-x,"""소의 다리는 한 마리당 4개, 닭의 다리는 한 마리당 2개이다. 소(x마리)와 닭(15-x마리)의 다리 수의 합은 44개이다."" 이를 방정식으로 표현해보자.",4x+2(15-x)=44,4단계에서 세운 방정식의 해를 구해봅시다.,x=7,소는 몇 마리인가요?,7마리,동물,동물의 다리의 수,"소의 다리는 4개, 닭의 다리는 2개이다."
1,E,유사문제1,"어느 농장에 양과 오리를 합하여 18마리가 있다. 다리의 수의 합이 54개일 때, 양은 모두 몇 마리인지 구하시오.","구해야하는 것은 무엇인가요?
① 오리의 다리 개수
② 오리의 마리수
③ 양의 다리 개수
④ 양의 마리수",양의 마리수,④,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,양의 마리수,“양과 오리를 합하여 18마리이다”를 이용하여 오리의 마리 수를 양의 마리 수(x)를 사용한 식으로 표현해보자.,18-x,"""양의 다리는 한 마리당 4개, 오리의 다리는 한 마리당 2개이다. 양(x마리)과 오리(18-x마리)의 다리 수의 합은 54개이다."" 이를 방정식으로 표현해보자.",4x+2(18-x)=54,4단계에서 세운 방정식의 해를 구해봅시다.,x=9,양은 몇 마리인가요?,9마리,동물,동물의 다리의 수,"양의 다리는 4개, 오리의 다리는 2개이다."
