단계,유형,type,단계_순서,힌트내용
1,A,본문제,1,문제에서 구하려는 것은 [RED: (동생)의 나이는 몇 살인가?]
1,A,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,A,본문제,3,문제의 조건 '[RED: 형은 동생보다 4살 많다]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,A,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,A,본문제,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,A,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,A,유사문제1,1,문제에서 구하려는 것은 [RED: (딸)의 나이는 몇 살인가?]
1,A,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,A,유사문제1,3,문제의 조건 '[RED: 아버지는 딸보다 3살 많다]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,A,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,A,유사문제1,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,A,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,A,유사문제2,1,문제에서 구하려는 것은 [RED: (학생)의 나이는 몇 살인가?]
1,A,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,A,유사문제2,3,문제의 조건 '[RED: 선생님은 학생보다 2살 많다]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,A,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,A,유사문제2,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,A,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,B,본문제,1,문제에서 구하려는 것은 [RED: (남학생)의 수는 몇 명인가?]
1,B,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,B,본문제,3,문제의 조건 '[RED: 여학생이 남학생보다 8명 많다]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,B,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,B,본문제,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,B,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,B,유사문제1,1,문제에서 구하려는 것은 [RED: (남학생)의 수는 몇 명인가?]
1,B,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,B,유사문제1,3,문제의 조건 '[RED: 여학생이 남학생보다 6명 많다]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,B,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,B,유사문제1,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,B,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,B,유사문제2,1,문제에서 구하려는 것은 [RED: (남학생)의 수는 몇 명인가?]
1,B,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,B,유사문제2,3,문제의 조건 '[RED: 여학생이 남학생보다 4명 많다]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,B,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,B,유사문제2,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,B,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,C,본문제,1,문제에서 구하려는 것은 [RED: (2점) 슛의 개수는 몇 개인가?]
1,C,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,C,본문제,3,문제의 조건 '[RED: 2점 슛 x개의 점수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,C,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,C,본문제,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,C,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,C,유사문제1,1,문제에서 구하려는 것은 [RED: (2점) 슛의 개수는 몇 개인가?]
1,C,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,C,유사문제1,3,문제의 조건 '[RED: 2점 슛 x개의 점수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,C,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,C,유사문제1,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,C,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,C,유사문제2,1,문제에서 구하려는 것은 [RED: (2점) 슛의 개수는 몇 개인가?]
1,C,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,C,유사문제2,3,문제의 조건 '[RED: 2점 슛 x개의 점수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,C,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,C,유사문제2,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,C,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,D,본문제,1,문제에서 구하려는 것은 [RED: (볼펜)은 몇 자루인가?]
1,D,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
